afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,workDistance,workDrivingDuration,workStopDuration,id,engineHours,vehicle_id,trip_id
0.34446287,39,true,true,0,31.059118,0.34446287,39,0,false,35,2019-11-16 00:24:03.127000+00:00,0,0,0,0,0,0,2019-11-16 00:23:23.137000+00:00,2019-11-16 00:24:03.063000+00:00,0,0,0,0,b945E38F,null,e0b,98543bfe
85.56979,4479,true,true,1625,68.776794,85.56979,4479,25,false,131,2019-11-16 00:51:14.062000+00:00,5,442,1,3,0,0,2019-11-15 23:09:30+00:00,2019-11-16 00:24:09+00:00,1625,0,0,0,b91ACB81,null,7bd8,9acb118b
5.8797426,662,true,true,9338,31.929237,5.8797426,662,9,false,87,2019-11-19 14:06:49.062000+00:00,0,0,0,0,0,0,2019-11-16 00:13:19.063000+00:00,2019-11-16 00:24:22+00:00,13347,0,0,54409,b9089112,null,c0fb,2b109189
3.4985428,534,true,true,1954,23.544369,3.4985428,534,394,false,59,2019-11-16 00:57:25.063000+00:00,0,0,0,0,0,0,2019-11-16 00:15:56.063000+00:00,2019-11-16 00:24:51+00:00,1954,0,0,0,b902D6A5,null,1bfd,09ad2b56
0.7931414,138,true,true,751,20.551107,0.7931414,138,616,false,57,2019-11-16 00:37:34+00:00,0,0,0,0,0,0,2019-11-16 00:22:44.063000+00:00,2019-11-16 00:25:03+00:00,751,0,0,0,b91C515B,null,dbd3,bc5119b5
5.9859214,639,true,true,187,33.67412,5.9859214,639,187,false,61,2019-11-16 00:28:20+00:00,0,0,0,0,0,0,2019-11-16 00:14:33.063000+00:00,2019-11-16 00:25:13+00:00,187,0,0,0,b919D815,null,41b86,599b81d1
37.608456,2207,true,true,2688,61.319885,37.608456,2207,4,false,133,2019-11-16 01:10:11.063000+00:00,3,369,1,54,0,0,2019-11-15 23:48:35.063000+00:00,2019-11-16 00:25:23+00:00,2688,0,0,0,b95D9709,null,b607,5b9d9079
0.4923417,88,true,true,0,20.14125,0.4923417,88,0,false,29,2019-11-16 00:25:32.063000+00:00,0,0,0,0,0,0,2019-11-16 00:24:03.127000+00:00,2019-11-16 00:25:31.127000+00:00,0,0,0,0,b945E390,null,b0e,b94e9305
0.27774906,79,true,true,0,12.646674,0.27774906,79,0,false,39,2019-11-16 00:26:52.063000+00:00,0,0,0,0,0,0,2019-11-16 00:25:32.063000+00:00,2019-11-16 00:26:51.127000+00:00,0,0,0,0,b945E391,null,eb0,9351e49b
0.06158085,32,true,true,1,6.927846,0.06158085,32,0,false,26,2019-11-16 00:27:25.063000+00:00,0,0,0,0,0,0,2019-11-16 00:26:52.063000+00:00,2019-11-16 00:27:24.063000+00:00,1,0,0,0,b945E392,null,0eb,49eb5293
0.30039465,125,true,true,458,8.586998,0.30039465,125,458,false,24,2019-11-16 00:35:28+00:00,0,0,0,0,0,0,2019-11-16 00:25:44.063000+00:00,2019-11-16 00:27:50+00:00,458,0,0,0,b902D178,null,6b7d1,07b1d928
0.11020454,36,true,true,0,11.000896,0.11020454,36,0,false,20,2019-11-16 00:28:02.063000+00:00,0,0,0,0,0,0,2019-11-16 00:27:25.063000+00:00,2019-11-16 00:28:01.127000+00:00,0,0,0,0,b945E393,null,0be,49395b3e
2.3652709,388,true,true,90,21.942192,2.3652709,388,0,false,59,2019-11-16 00:29:39.062000+00:00,0,0,0,0,0,0,2019-11-16 00:21:40.063000+00:00,2019-11-16 00:28:08.127000+00:00,90,0,0,0,b91983CD,null,76b7,3c91b98d
18.622637,2570,true,true,9096,26.085535,18.622637,2570,0,false,68,2019-11-19 11:49:18.063000+00:00,0,0,0,0,0,0,2019-11-15 23:45:33.063000+00:00,2019-11-16 00:28:23.127000+00:00,12054,0,0,46158,b93D454B,null,1b8,5b349bd4
106.36377,3547,true,true,5064,107.92457,106.36377,3547,21,false,125,2019-11-16 01:52:51.126000+00:00,4,2810,0,0,0,0,2019-11-15 23:29:19.063000+00:00,2019-11-16 00:28:27+00:00,5064,0,0,0,b94181DB,null,c6b2,19d184bb
63.25148,5315,true,false,79544,50.06331,138.29901,9944,14,false,127,2019-11-16 22:34:19.063000+00:00,10,395,0,0,0,0,2019-11-15 21:42:50.063000+00:00,2019-11-16 00:28:35+00:00,79544,75.04753,4629,0,b957AC1C,null,b1e18,715cbc9a
5.843175,759,true,true,332,27.714664,5.843175,759,332,false,70,2019-11-16 00:34:21+00:00,0,0,0,0,0,0,2019-11-16 00:16:10+00:00,2019-11-16 00:28:49+00:00,332,0,0,0,b95C3052,null,bc4,52c035b9
118.083305,5336,true,false,44604,80.31651,227.0266,10175,2,false,131,2019-11-16 12:52:20.062000+00:00,15,2607,4,74,0,0,2019-11-15 21:39:20.063000+00:00,2019-11-16 00:28:56+00:00,44604,108.94329,4839,0,b9030630,null,b581,9306003b
